Player_Name,Gender,Country,Year,Sport,Event,Sport_Type,Gold,Silver,Bronze
Soichi Tamoi,M,Japan,1951,Athletics,"10,000 m",Single,1,0,0
Ryosuke Takasugi,M,Japan,1951,Athletics,"10,000 m",Single,0,1,0
Gurbachan Singh,M,India,1951,Athletics,"10,000 m",Single,0,0,1
Mahabir Prasad,M,India,1951,Athletics,"10,000 m walk",Single,1,0,0
Takeo Sato,M,Japan,1951,Athletics,"10,000 m walk",Single,0,1,0
Kesar Singh,M,India,1951,Athletics,"10,000 m walk",Single,0,0,1
Lavy Pinto,M,India,1951,Athletics,100 m,Single,1,0,0
Toshihiro Ohashi,M,Japan,1951,Athletics,100 m,Single,0,1,0
Tomio Hosoda,M,Japan,1951,Athletics,100 m,Single,0,0,1
Kiyoko Sugimura,F,Japan,1951,Athletics,100 m,Single,1,0,0
Roshan Mistry,F,India,1951,Athletics,100 m,Single,0,1,0
Kimiko Okamoto,F,Japan,1951,Athletics,100 m,Single,0,0,1
Ng Liang Chiang,M,Singapore,1951,Athletics,110 m hurdles,Single,1,0,0
Michitaka Kinami,M,Japan,1951,Athletics,110 m hurdles,Single,0,1,0
Lloyd Valberg,M,Singapore,1951,Athletics,110 m hurdles,Single,0,0,1
Nikka Singh,M,India,1951,Athletics,1500 m,Single,1,0,0
Susumu Takahashi,M,Japan,1951,Athletics,1500 m,Single,0,1,0
Kikuo Moriya,M,Japan,1951,Athletics,1500 m,Single,0,0,1
Lavy Pinto,M,India,1951,Athletics,200 m,Single,1,0,0
M. Gabriel,M,India,1951,Athletics,200 m,Single,0,1,0
Tomio Hosoda,M,Japan,1951,Athletics,200 m,Single,0,0,1
Kimiko Okamoto,F,Japan,1951,Athletics,200 m,Single,1,0,0
Laura Dowdswell,F,Singapore,1951,Athletics,200 m,Single,0,1,0
Mary D'Souza,F,India,1951,Athletics,200 m,Single,0,0,1
Susumu Takahashi,M,Japan,1951,Athletics,3000 m steeplechase,Single,1,0,0
Ali Baghbanbashi,M,Iran,1951,Athletics,3000 m steeplechase,Single,0,1,0
Ajit Singh,M,India,1951,Athletics,3000 m steeplechase,Single,0,0,1
Masaji Tajima,M,Japan,1951,Athletics,4 x 100 m relay,Team,1,0,0
Toshihiro Ohashi,M,Japan,1951,Athletics,4 x 100 m relay,Team,1,0,0
Tomio Hosoda,M,Japan,1951,Athletics,4 x 100 m relay,Team,1,0,0
Kazuta Ikoma,M,Japan,1951,Athletics,4 x 100 m relay,Team,1,0,0
Lavy Pinto,M,India,1951,Athletics,4 x 100 m relay,Team,0,1,0
M. Gabriel,M,India,1951,Athletics,4 x 100 m relay,Team,0,1,0
Ram Swaroop,M,India,1951,Athletics,4 x 100 m relay,Team,0,1,0
Alfred Shamin,M,India,1951,Athletics,4 x 100 m relay,Team,0,1,0
Genaro Cabrera,M,Philippines,1951,Athletics,4 x 100 m relay,Team,0,0,1
Tito Almagro,M,Philippines,1951,Athletics,4 x 100 m relay,Team,0,0,1
Jovencio Ardina,M,Philippines,1951,Athletics,4 x 100 m relay,Team,0,0,1
Bernabe Lovina,M,Philippines,1951,Athletics,4 x 100 m relay,Team,0,0,1
A. S. Bakshi,M,India,1951,Athletics,4 x 400 m relay,Team,1,0,0
Govind Singh,M,India,1951,Athletics,4 x 400 m relay,Team,1,0,0
Balwant Singh,M,India,1951,Athletics,4 x 400 m relay,Team,1,0,0
Karnan Singh,M,India,1951,Athletics,4 x 400 m relay,Team,1,0,0
Yorio Mizuyoke,M,Japan,1951,Athletics,4 x 400 m relay,Team,0,1,0
Ichiro Tao,M,Japan,1951,Athletics,4 x 400 m relay,Team,0,1,0
Fumio Nishiuchi,M,Japan,1951,Athletics,4 x 400 m relay,Team,0,1,0
Eitaro Okano,M,Japan,1951,Athletics,4 x 400 m relay,Team,0,1,0
Bienvenido Llaneta,M,Philippines,1951,Athletics,4 x 400 m relay,Team,0,0,1
Bernabe Lovina,M,Philippines,1951,Athletics,4 x 400 m relay,Team,0,0,1
Tomas Bennet,M,Philippines,1951,Athletics,4 x 400 m relay,Team,0,0,1
Genaro Cabrera,M,Philippines,1951,Athletics,4 x 400 m relay,Team,0,0,1
Kimiko Okamoto,F,Japan,1951,Athletics,4 × 100 m relay,Team,1,0,0
Taeko Sato,F,Japan,1951,Athletics,4 × 100 m relay,Team,1,0,0
Ayako Yoshikawa,F,Japan,1951,Athletics,4 × 100 m relay,Team,1,0,0
Kiyoko Sugimura,F,Japan,1951,Athletics,4 × 100 m relay,Team,1,0,0
Mary D'Souza,F,India,1951,Athletics,4 × 100 m relay,Team,0,1,0
Roshan Mistry,F,India,1951,Athletics,4 × 100 m relay,Team,0,1,0
Banoo Gulzar,F,India,1951,Athletics,4 × 100 m relay,Team,0,1,0
Pat Mendonca,F,India,1951,Athletics,4 × 100 m relay,Team,0,1,0
Triwulan,F,Indonesia,1951,Athletics,4 × 100 m relay,Team,0,0,1
Darwati,F,Indonesia,1951,Athletics,4 × 100 m relay,Team,0,0,1
Surjowati,F,Indonesia,1951,Athletics,4 × 100 m relay,Team,0,0,1
Lie Djiang Nio,F,Indonesia,1951,Athletics,4 × 100 m relay,Team,0,0,1
Eitaro Okano,M,Japan,1951,Athletics,400 m,Single,1,0,0
A. S. Bakshi,M,India,1951,Athletics,400 m,Single,0,1,0
Govind Singh,M,India,1951,Athletics,400 m,Single,0,0,1
Eitaro Okano,M,Japan,1951,Athletics,400 m hurdles,Single,1,0,0
Teja Singh,M,India,1951,Athletics,400 m hurdles,Single,0,1,0
Ng Liang Chiang,M,Singapore,1951,Athletics,400 m hurdles,Single,0,0,1
Bakhtawar Singh,M,India,1951,Athletics,50 km walk,Single,1,0,0
B. Das,M,India,1951,Athletics,50 km walk,Single,0,1,0
Takeo Sato,M,Japan,1951,Athletics,50 km walk,Single,0,0,1
Ali Baghbanbashi,M,Iran,1951,Athletics,5000 m,Single,1,0,0
Pritam Singh,M,India,1951,Athletics,5000 m,Single,0,1,0
Soichi Tamoi,M,Japan,1951,Athletics,5000 m,Single,0,0,1
Kyoko Yoneda,F,Japan,1951,Athletics,80 m hurdles,Single,1,0,0
Laura Dowdswell,F,Singapore,1951,Athletics,80 m hurdles,Single,0,1,0
Taeko Sato,F,Japan,1951,Athletics,80 m hurdles,Single,0,0,1
Ranjit Singh,M,India,1951,Athletics,800 m,Single,1,0,0
Kulwant Singh,M,India,1951,Athletics,800 m,Single,0,1,0
Kikuo Moriya,M,Japan,1951,Athletics,800 m,Single,0,0,1
Fumio Nishiuchi,M,Japan,1951,Athletics,Decathlon,Single,1,0,0
Bunkichi Sawada,M,Japan,1951,Athletics,Decathlon,Single,0,1,0
Khurshid Ahmed,M,India,1951,Athletics,Decathlon,Single,0,0,1
Makhan Singh,M,India,1951,Athletics,Discus throw,Single,1,0,0
Norimi Sato,M,Japan,1951,Athletics,Discus throw,Single,0,1,0
Aurelio Amante,M,Philippines,1951,Athletics,Discus throw,Single,0,0,1
Toyoko Yoshino,F,Japan,1951,Athletics,Discus throw,Single,1,0,0
Fumi Kojima,F,Japan,1951,Athletics,Discus throw,Single,0,1,0
Annie Salamun,F,Indonesia,1951,Athletics,Discus throw,Single,0,0,1
Fumio Kamamoto,M,Japan,1951,Athletics,Hammer throw,Single,1,0,0
Somnath Chopra,M,India,1951,Athletics,Hammer throw,Single,0,1,0
Kishen Singh,M,India,1951,Athletics,Hammer throw,Single,0,0,1
Andres Franco,M,Philippines,1951,Athletics,High jump,Single,1,0,0
Yukio Ishikawa,M,Japan,1951,Athletics,High jump,Single,0,1,0
Maram Sudarmodjo,M,Indonesia,1951,Athletics,High jump,Single,0,0,1
Kyoko Yoneda,F,Japan,1951,Athletics,High jump,Single,1,0,0
Taeko Sato,F,Japan,1951,Athletics,High jump,Single,0,1,0
Marie Semoes,F,India,1951,Athletics,High jump,Single,0,0,1
Haruo Nagayasu,M,Japan,1951,Athletics,Javelin throw,Single,1,0,0
Parsa Singh,M,India,1951,Athletics,Javelin throw,Single,0,1,0
Matulessy,M,Indonesia,1951,Athletics,Javelin throw,Single,0,0,1
Toyoko Yoshino,F,Japan,1951,Athletics,Javelin throw,Single,1,0,0
Miyoko Kato,F,Japan,1951,Athletics,Javelin throw,Single,0,1,0
Barbara Webster,F,India,1951,Athletics,Javelin throw,Single,0,0,1
Masaji Tajima,M,Japan,1951,Athletics,Long jump,Single,1,0,0
Baldev Singh,M,India,1951,Athletics,Long jump,Single,0,1,0
Takashi Aso,M,Japan,1951,Athletics,Long jump,Single,0,0,1
Kiyoko Sugimura,F,Japan,1951,Athletics,Long jump,Single,1,0,0
Ayako Yoshikawa,F,Japan,1951,Athletics,Long jump,Single,0,1,0
Sylvia Gauntlet,F,India,1951,Athletics,Long jump,Single,0,0,1
Chhota Singh,M,India,1951,Athletics,Marathon,Single,1,0,0
Katsuo Nishida,M,Japan,1951,Athletics,Marathon,Single,0,1,0
Surat Singh Mathur,M,India,1951,Athletics,Marathon,Single,0,0,1
Bunkichi Sawada,M,Japan,1951,Athletics,Pole vault,Single,1,0,0
M. A. Akbar,M,Ceylon,1951,Athletics,Pole vault,Single,0,1,0
Shuhei Nishida,M,Japan,1951,Athletics,Pole vault,Single,0,0,1
Madan Lal,M,India,1951,Athletics,Shot put,Single,1,0,0
Sukeo Denda,M,Japan,1951,Athletics,Shot put,Single,0,1,0
Norimi Sato,M,Japan,1951,Athletics,Shot put,Single,0,0,1
Toyoko Yoshino,F,Japan,1951,Athletics,Shot put,Single,1,0,0
Fumi Kojima,F,Japan,1951,Athletics,Shot put,Single,0,1,0
Barbara Webster,F,India,1951,Athletics,Shot put,Single,0,0,1
Yoshio Iimuro,M,Japan,1951,Athletics,Triple jump,Single,1,0,0
Takashi Aso,M,Japan,1951,Athletics,Triple jump,Single,0,1,0
Hendarsin,M,Indonesia,1951,Athletics,Triple jump,Single,0,0,1
Francisco Calilan,M,Philippines,1951,Basketball,Men,Team,1,0,0
Andres dela Cruz,M,Philippines,1951,Basketball,Men,Team,1,0,0
Genaro Fernandez,M,Philippines,1951,Basketball,Men,Team,1,0,0
Jose Gochangco,M,Philippines,1951,Basketball,Men,Team,1,0,0
Rafael Hechanova,M,Philippines,1951,Basketball,Men,Team,1,0,0
Moro Lorenzo,M,Philippines,1951,Basketball,Men,Team,1,0,0
Carlos Loyzaga,M,Philippines,1951,Basketball,Men,Team,1,0,0
Antonio Martinez,M,Philippines,1951,Basketball,Men,Team,1,0,0
Lauro Mumar,M,Philippines,1951,Basketball,Men,Team,1,0,0
Ignacio Ramos,M,Philippines,1951,Basketball,Men,Team,1,0,0
Meliton Santos,M,Philippines,1951,Basketball,Men,Team,1,0,0
Mariano Tolentino,M,Philippines,1951,Basketball,Men,Team,1,0,0
Makoto Arai,M,Japan,1951,Basketball,Men,Team,0,1,0
Mitsugu Hachiya,M,Japan,1951,Basketball,Men,Team,0,1,0
Hiroshi Ikeda,M,Japan,1951,Basketball,Men,Team,0,1,0
Junichi Iwao,M,Japan,1951,Basketball,Men,Team,0,1,0
Michio Katayama,M,Japan,1951,Basketball,Men,Team,0,1,0
Fumio Matsuoka,M,Japan,1951,Basketball,Men,Team,0,1,0
Kasaburo Ogura,M,Japan,1951,Basketball,Men,Team,0,1,0
Shuzo Okubo,M,Japan,1951,Basketball,Men,Team,0,1,0
Shigeru Saito,M,Japan,1951,Basketball,Men,Team,0,1,0
Minoru Takahashi,M,Japan,1951,Basketball,Men,Team,0,1,0
Mitsuhide Tsudi,M,Japan,1951,Basketball,Men,Team,0,1,0
Hassan Khaleghpour,M,Iran,1951,Basketball,Men,Team,0,0,1
Kamal Mashhoun,M,Iran,1951,Basketball,Men,Team,0,0,1
Reza Masoumi,M,Iran,1951,Basketball,Men,Team,0,0,1
Kambiz Mokhberi,M,Iran,1951,Basketball,Men,Team,0,0,1
Alireza Oshar,M,Iran,1951,Basketball,Men,Team,0,0,1
Hossein Razi,M,Iran,1951,Basketball,Men,Team,0,0,1
Mashallah Safiyar,M,Iran,1951,Basketball,Men,Team,0,0,1
Abolfazl Solbi,M,Iran,1951,Basketball,Men,Team,0,0,1
Hossein Soroudi,M,Iran,1951,Basketball,Men,Team,0,0,1
Hossein Soudipour,M,Iran,1951,Basketball,Men,Team,0,0,1
Shoichiro Sugihara,Unknown,Japan,1951,Cycling,1 km time trial,Single,1,0,0
Ryo Ishikawa,Unknown,Japan,1951,Cycling,1 km time trial,Single,0,1,0
Netai Chand Bysack,Unknown,India,1951,Cycling,1 km time trial,Single,0,0,1
Shoichiro Sugihara,M,Japan,1951,Cycling,1 km time trial,Single,1,0,0
Ryo Ishikawa,M,Japan,1951,Cycling,1 km time trial,Single,0,1,0
Netai Chand Bysack,M,India,1951,Cycling,1 km time trial,Single,0,0,1
Kihei Tomioka,Unknown,Japan,1951,Cycling,Road race,Single,1,0,0
Yuji Tachiiri,Unknown,Japan,1951,Cycling,Road race,Single,0,1,0
Takeo Sato,Unknown,Japan,1951,Cycling,Road race,Single,0,0,1
Kihei Tomioka,M,Japan,1951,Cycling,Road race,Single,1,0,0
Yuji Tachiiri,M,Japan,1951,Cycling,Road race,Single,0,1,0
Takeo Sato,M,Japan,1951,Cycling,Road race,Single,0,0,1
Takeo Sato,Unknown,Japan,1951,Cycling,Sprint,Single,1,0,0
Shoichiro Sugihara,Unknown,Japan,1951,Cycling,Sprint,Single,0,1,0
Rohinton Noble,Unknown,India,1951,Cycling,Sprint,Single,0,0,1
Takeo Sato,M,Japan,1951,Cycling,Sprint,Single,1,0,0
Shoichiro Sugihara,M,Japan,1951,Cycling,Sprint,Single,0,1,0
Rohinton Noble,M,India,1951,Cycling,Sprint,Single,0,0,1
Ryo Ishikawa,Unknown,Japan,1951,Cycling,Team pursuit,Team,1,0,0
Takeo Sato,Unknown,Japan,1951,Cycling,Team pursuit,Team,1,0,0
Yuji Tachiiri,Unknown,Japan,1951,Cycling,Team pursuit,Team,1,0,0
Kihei Tomioka,Unknown,Japan,1951,Cycling,Team pursuit,Team,1,0,0
Dhangar,Unknown,India,1951,Cycling,Team pursuit,Team,0,1,0
Raj Kumar Mehra,Unknown,India,1951,Cycling,Team pursuit,Team,0,1,0
Madan Mohan,Unknown,India,1951,Cycling,Team pursuit,Team,0,1,0
Gurdev Singh,Unknown,India,1951,Cycling,Team pursuit,Team,0,1,0
Ryo Ishikawa,M,Japan,1951,Cycling,Team pursuit,Team,1,0,0
Takeo Sato,M,Japan,1951,Cycling,Team pursuit,Team,1,0,0
Yuji Tachiiri,M,Japan,1951,Cycling,Team pursuit,Team,1,0,0
Kihei Tomioka,M,Japan,1951,Cycling,Team pursuit,Team,1,0,0
Dhangar,M,India,1951,Cycling,Team pursuit,Team,0,1,0
Raj Kumar Mehra,M,India,1951,Cycling,Team pursuit,Team,0,1,0
Madan Mohan,M,India,1951,Cycling,Team pursuit,Team,0,1,0
Gurdev Singh,M,India,1951,Cycling,Team pursuit,Team,0,1,0
K. P. Thakkar,M,India,1951,Diving,10 m platform,Single,1,0,0
Taghi Askari,M,Iran,1951,Diving,10 m platform,Single,0,1,0
T. T. Dand,M,India,1951,Diving,10 m platform,Single,0,0,1
K. P. Thakkar,M,India,1951,Diving,3 m springboard,Single,1,0,0
Ashu Dutt,M,India,1951,Diving,3 m springboard,Single,0,1,0
Taghi Askari,M,Iran,1951,Diving,3 m springboard,Single,0,0,1
Berland Anthony,M,India,1951,Football,Men,Team,1,0,0
Syed Khwaja Azizuddin,M,India,1951,Football,Men,Team,1,0,0
A. M. Bachan,M,India,1951,Football,Men,Team,1,0,0
Sunil Chatterjee,M,India,1951,Football,Men,Team,1,0,0
Abhoy Ghosh,M,India,1951,Football,Men,Team,1,0,0
D. N. Devine Jones,M,India,1951,Football,Men,Team,1,0,0
Ahmed Khan,M,India,1951,Football,Men,Team,1,0,0
G. Y. S. Laiq,M,India,1951,Football,Men,Team,1,0,0
Sheikh Abdul Latif,M,India,1951,Football,Men,Team,1,0,0
Loganathan,M,India,1951,Football,Men,Team,1,0,0
Sailen Manna,M,India,1951,Football,Men,Team,1,0,0
Sheoo Mewalal,M,India,1951,Football,Men,Team,1,0,0
Santosh Nandy,M,India,1951,Football,Men,Team,1,0,0
Muhammad Noor,M,India,1951,Football,Men,Team,1,0,0
Chandan Singh Rawat,M,India,1951,Football,Men,Team,1,0,0
P. B. A. Saleh,M,India,1951,Football,Men,Team,1,0,0
Mohammad Abdus Sattar,M,India,1951,Football,Men,Team,1,0,0
T. Shanmugham,M,India,1951,Football,Men,Team,1,0,0
Runu Guha Thakurta,M,India,1951,Football,Men,Team,1,0,0
Kenchappa Varadaraj,M,India,1951,Football,Men,Team,1,0,0
Thenmaddom Varghese,M,India,1951,Football,Men,Team,1,0,0
Pansanttom Venkatesh,M,India,1951,Football,Men,Team,1,0,0
Nader Afshar Alavinejad,M,Iran,1951,Football,Men,Team,0,1,0
Nader Afshar Naderi,M,Iran,1951,Football,Men,Team,0,1,0
Amir Aghahosseini,M,Iran,1951,Football,Men,Team,0,1,0
Amir Araghi,M,Iran,1951,Football,Men,Team,0,1,0
Mohsen Azad,M,Iran,1951,Football,Men,Team,0,1,0
Mahmoud Bayati,M,Iran,1951,Football,Men,Team,0,1,0
Masoud Boroumand,M,Iran,1951,Football,Men,Team,0,1,0
Hossein Fekri,M,Iran,1951,Football,Men,Team,0,1,0
Aref Gholizadeh,M,Iran,1951,Football,Men,Team,0,1,0
Mansour Hajian,M,Iran,1951,Football,Men,Team,0,1,0
Parviz Kouzehkanani,M,Iran,1951,Football,Men,Team,0,1,0
George Markarian,M,Iran,1951,Football,Men,Team,0,1,0
Mehdi Masoud-Ansari,M,Iran,1951,Football,Men,Team,0,1,0
Mehdi Nassiroghloo,M,Iran,1951,Football,Men,Team,0,1,0
Mahmoud Shakibi,M,Iran,1951,Football,Men,Team,0,1,0
Hossein Soroudi,M,Iran,1951,Football,Men,Team,0,1,0
Ghorban Ali Tari,M,Iran,1951,Football,Men,Team,0,1,0
Ko Arima,M,Japan,1951,Football,Men,Team,0,0,1
Toshio Iwatani,M,Japan,1951,Football,Men,Team,0,0,1
Taro Kagawa,M,Japan,1951,Football,Men,Team,0,0,1
Takashi Kano,M,Japan,1951,Football,Men,Team,0,0,1
Nobuyuki Kato,M,Japan,1951,Football,Men,Team,0,0,1
Seki Matsunaga,M,Japan,1951,Football,Men,Team,0,0,1
Koji Miyata,M,Japan,1951,Football,Men,Team,0,0,1
Hirokazu Ninomiya,M,Japan,1951,Football,Men,Team,0,0,1
Ken Noritake,M,Japan,1951,Football,Men,Team,0,0,1
Yoshio Okada,M,Japan,1951,Football,Men,Team,0,0,1
Shigeo Sugimoto,M,Japan,1951,Football,Men,Team,0,0,1
Megumu Tamura,M,Japan,1951,Football,Men,Team,0,0,1
Masanori Tokita,M,Japan,1951,Football,Men,Team,0,0,1
Yukio Tsuda,M,Japan,1951,Football,Men,Team,0,0,1
Artemio Salamat,M,Philippines,1951,Swimming,100 m backstroke,Single,1,0,0
Kanti Shah,M,India,1951,Swimming,100 m backstroke,Single,0,1,0
Edilberto Bonus,M,Philippines,1951,Swimming,100 m backstroke,Single,0,0,1
Sachin Nag,M,India,1951,Swimming,100 m freestyle,Single,1,0,0
Wiebe Wolters,M,Singapore,1951,Swimming,100 m freestyle,Single,0,1,0
Sotero Alcantara,M,Philippines,1951,Swimming,100 m freestyle,Single,0,0,1
Neo Chwee Kok,M,Singapore,1951,Swimming,1500 m freestyle,Single,1,0,0
Mohammad Mala,M,Philippines,1951,Swimming,1500 m freestyle,Single,0,1,0
Serafin Villanueva,M,Philippines,1951,Swimming,1500 m freestyle,Single,0,0,1
Jacinto Cayco,M,Philippines,1951,Swimming,200 m breaststroke,Single,1,0,0
Rene Amabuyok,M,Philippines,1951,Swimming,200 m breaststroke,Single,0,1,0
Jehangir Naegamwalla,M,India,1951,Swimming,200 m breaststroke,Single,0,0,1
Artemio Salamat,M,Philippines,1951,Swimming,3 × 100 m medley relay,Team,1,0,0
Jacinto Cayco,M,Philippines,1951,Swimming,3 × 100 m medley relay,Team,1,0,0
Nurhatab Rajab,M,Philippines,1951,Swimming,3 × 100 m medley relay,Team,1,0,0
Lionel Chee,M,Singapore,1951,Swimming,3 × 100 m medley relay,Team,0,1,0
Tan Hwee Hock,M,Singapore,1951,Swimming,3 × 100 m medley relay,Team,0,1,0
Neo Chwee Kok,M,Singapore,1951,Swimming,3 × 100 m medley relay,Team,0,1,0
Kanti Shah,M,India,1951,Swimming,3 × 100 m medley relay,Team,0,0,1
Jehangir Naegamwalla,M,India,1951,Swimming,3 × 100 m medley relay,Team,0,0,1
Sachin Nag,M,India,1951,Swimming,3 × 100 m medley relay,Team,0,0,1
Wiebe Wolters,M,Singapore,1951,Swimming,4 × 100 m freestyle relay,Team,1,0,0
Lionel Chee,M,Singapore,1951,Swimming,4 × 100 m freestyle relay,Team,1,0,0
Barry Mitchell,M,Singapore,1951,Swimming,4 × 100 m freestyle relay,Team,1,0,0
Neo Chwee Kok,M,Singapore,1951,Swimming,4 × 100 m freestyle relay,Team,1,0,0
Nurhatab Rajab,M,Philippines,1951,Swimming,4 × 100 m freestyle relay,Team,0,1,0
Mohammad Mala,M,Philippines,1951,Swimming,4 × 100 m freestyle relay,Team,0,1,0
Serafin Villanueva,M,Philippines,1951,Swimming,4 × 100 m freestyle relay,Team,0,1,0
Sotero Alcantara,M,Philippines,1951,Swimming,4 × 100 m freestyle relay,Team,0,1,0
Isaac Mansoor,M,India,1951,Swimming,4 × 100 m freestyle relay,Team,0,0,1
Bimal Chandra,M,India,1951,Swimming,4 × 100 m freestyle relay,Team,0,0,1
Sambhu Saha,M,India,1951,Swimming,4 × 100 m freestyle relay,Team,0,0,1
Sachin Nag,M,India,1951,Swimming,4 × 100 m freestyle relay,Team,0,0,1
Neo Chwee Kok,M,Singapore,1951,Swimming,400 m freestyle,Single,1,0,0
Mohammad Mala,M,Philippines,1951,Swimming,400 m freestyle,Single,0,1,0
Bimal Chandra,M,India,1951,Swimming,400 m freestyle,Single,0,0,1
Neo Chwee Kok,M,Singapore,1951,Swimming,800 m freestyle,Single,1,0,0
Serafin Villanueva,M,Philippines,1951,Swimming,800 m freestyle,Single,0,1,0
Mohammad Mala,M,Philippines,1951,Swimming,800 m freestyle,Single,0,0,1
Jahan Ahir,M,India,1951,WaterPolo,Men,Team,1,0,0
Ganesh Das,M,India,1951,WaterPolo,Men,Team,1,0,0
D. Daver,M,India,1951,WaterPolo,Men,Team,1,0,0
R. Dean,M,India,1951,WaterPolo,Men,Team,1,0,0
Isaac Mansoor,M,India,1951,WaterPolo,Men,Team,1,0,0
G. Rattansey,M,India,1951,WaterPolo,Men,Team,1,0,0
Kanti Shah,M,India,1951,WaterPolo,Men,Team,1,0,0
Lionel Chee,M,Singapore,1951,WaterPolo,Men,Team,0,1,0
Ho Kian Bin,M,Singapore,1951,WaterPolo,Men,Team,0,1,0
Kee Soon Bee,M,Singapore,1951,WaterPolo,Men,Team,0,1,0
Barry Mitchell,M,Singapore,1951,WaterPolo,Men,Team,0,1,0
Keith Mitchell,M,Singapore,1951,WaterPolo,Men,Team,0,1,0
Sim Boon Hoon,M,Singapore,1951,WaterPolo,Men,Team,0,1,0
Tan Hwee Hock,M,Singapore,1951,WaterPolo,Men,Team,0,1,0
Tan Wee Eng,M,Singapore,1951,WaterPolo,Men,Team,0,1,0
Wiebe Wolters,M,Singapore,1951,WaterPolo,Men,Team,0,1,0
Mahmoud Namjoo,M,Iran,1951,Weightlifting,Bantamweight(56 kg) ,Single,1,0,0
Ali Mirzaei,M,Iran,1951,Weightlifting,Bantamweight(56 kg) ,Single,0,1,0
Pedro Landero,M,Philippines,1951,Weightlifting,Bantamweight(56 kg) ,Single,0,0,1
Jafar Salmasi,M,Iran,1951,Weightlifting,Featherweight(60 kg) ,Single,1,0,0
Rodrigo del Rosario,M,Philippines,1951,Weightlifting,Featherweight(60 kg) ,Single,0,1,0
Yukio Iguchi,M,Japan,1951,Weightlifting,Featherweight(60 kg) ,Single,0,0,1
Leon Kurukchian,M,Iran,1951,Weightlifting,Heavyweight(+90 kg) ,Single,1,0,0
Ahmad Ordoubadi,M,Iran,1951,Weightlifting,Heavyweight(+90 kg) ,Single,0,1,0
Dandamudi Rajagopal,M,India,1951,Weightlifting,Heavyweight(+90 kg) ,Single,0,0,1
Hassan Rahnavardi,M,Iran,1951,Weightlifting,Light heavyweight(82.5 kg) ,Single,1,0,0
Cheong Kok Cheong,M,Singapore,1951,Weightlifting,Light heavyweight(82.5 kg) ,Single,0,1,0
Thein Han,M,Burma,1951,Weightlifting,Light heavyweight(82.5 kg) ,Single,0,0,1
Hassan Ferdos,M,Iran,1951,Weightlifting,Lightweight(67.5 kg) ,Single,1,0,0
Peter Ho,M,Singapore,1951,Weightlifting,Lightweight(67.5 kg) ,Single,0,1,0
Minoru Kubota,M,Japan,1951,Weightlifting,Lightweight(67.5 kg) ,Single,0,0,1
Rasoul Raeisi,M,Iran,1951,Weightlifting,Middle heavyweight(90 kg) ,Single,1,0,0
Kamineni Eswara Rao,M,India,1951,Weightlifting,Middle heavyweight(90 kg) ,Single,0,1,0
Maung Maung Lwin,M,Burma,1951,Weightlifting,Middle heavyweight(90 kg) ,Single,0,0,1
Firouz Pojhan,M,Iran,1951,Weightlifting,Middleweight(75 kg) ,Single,1,0,0
Jalal Mansouri,M,Iran,1951,Weightlifting,Middleweight(75 kg) ,Single,0,1,0
Ba Thein,M,Burma,1951,Weightlifting,Middleweight(75 kg) ,Single,0,0,1
Choi Chung-sik,M,South Korea,1954,Athletics,"10,000 m",Single,1,0,0
Jiro Yamauchi,M,Japan,1954,Athletics,"10,000 m",Single,0,1,0
Pi Li-ming,M,Republic of China,1954,Athletics,"10,000 m",Single,0,0,1
Abdul Khaliq,M,Pakistan,1954,Athletics,100 m,Single,1,0,0
Genaro Cabrera,M,Philippines,1954,Athletics,100 m,Single,0,1,0
M. Gabriel,M,India,1954,Athletics,100 m,Single,0,0,1
Atsuko Nambu,F,Japan,1954,Athletics,100 m,Single,1,0,0
Mary Klass,F,Singapore,1954,Athletics,100 m,Single,0,1,0
Christine Brown,F,India,1954,Athletics,100 m,Single,0,0,1
Sarwan Singh,M,India,1954,Athletics,110 m hurdles,Single,1,0,0
Yukiyoshi Kawata,M,Japan,1954,Athletics,110 m hurdles,Single,0,1,0
Takehiko Nakajima,M,Japan,1954,Athletics,110 m hurdles,Single,0,0,1
Choi Yun-chil,M,South Korea,1954,Athletics,1500 m,Single,1,0,0
Yoshitaka Muroya,M,Japan,1954,Athletics,1500 m,Single,0,1,0
Michio Ueki,M,Japan,1954,Athletics,1500 m,Single,0,0,1
Muhammad Sharif Butt,M,Pakistan,1954,Athletics,200 m,Single,1,0,0
Khwaja Muhammad Aslam,M,Pakistan,1954,Athletics,200 m,Single,0,1,0
Stephen Xavier,M,Hong Kong,1954,Athletics,200 m,Single,0,0,1
Midori Tanaka,F,Japan,1954,Athletics,200 m,Single,1,0,0
Atsuko Nambu,F,Japan,1954,Athletics,200 m,Single,0,1,0
Inocencia Solis,F,Philippines,1954,Athletics,200 m,Single,0,0,1
Susumu Takahashi,M,Japan,1954,Athletics,3000 m steeplechase,Single,1,0,0
Yasumasa Shirasagi,M,Japan,1954,Athletics,3000 m steeplechase,Single,0,1,0
Dalu Ram,M,India,1954,Athletics,3000 m steeplechase,Single,0,0,1
Masaji Tajima,M,Japan,1954,Athletics,4 × 100 m relay,Team,1,0,0
Yoshihiro Takatani,M,Japan,1954,Athletics,4 × 100 m relay,Team,1,0,0
Tomio Hosoda,M,Japan,1954,Athletics,4 × 100 m relay,Team,1,0,0
Akira Kiyofuji,M,Japan,1954,Athletics,4 × 100 m relay,Team,1,0,0
